Date,Rolling Z-Score
2000-09-12,0.291985227642748
2000-09-19,-0.20311209577354
2000-09-26,0.178601010917725
2000-10-03,0.484564906535447
2000-10-10,0.697283871388798
2000-10-17,0.404463953284916
2000-10-24,0.453233213085712
2000-10-31,0.471579499011483
2000-11-07,0.603053064666049
2000-11-14,0.476580707382888
2000-11-21,0.738446251926932
2000-11-28,0.847569275590374
2000-12-05,1.78398288906179
2000-12-12,2.0910807273092
2000-12-19,2.20278463834115
2000-12-26,2.55671057851299
2001-01-02,2.44955949141514
2001-01-09,1.96251204057394
2001-01-16,1.60236809134294
2001-01-23,1.26064749243875
2001-01-30,1.20602124016243
2001-02-06,0.966823411101803
2001-02-13,0.987489833985061
2001-02-20,0.529778602990433
2001-02-27,0.418420910957692
2001-03-06,1.17340950902599
2001-03-13,0.099551416022422
2001-03-20,-0.516403990442927
2001-03-27,-0.38028855127228
2001-04-03,-0.038692261560548
2001-04-10,-0.317728380527731
2001-04-17,-0.445138882744878
2001-04-24,-0.140214462121556
2001-05-01,-0.362187655201661
2001-05-08,-0.629932125165344
2001-05-15,-0.752667608227396
2001-05-22,-1.85125691636506
2001-05-29,-1.47680954787807
2001-06-05,-1.51024823301224
2001-06-12,-1.52731182000483
2001-06-19,-0.488333772152955
2001-06-26,-0.545639913853884
2001-07-03,-0.540284942497142
2001-07-10,-0.082849146111575
2001-07-17,0.205118298426774
2001-07-24,0.803807454898972
2001-07-31,0.997062862595357
2001-08-07,1.03745137683493
2001-08-14,1.74328259597084
2001-08-21,2.10645360225503
2001-08-28,2.05611070450802
2001-09-04,1.20231248539696
2001-09-10,0.870384183839679
2001-09-18,1.53720336656286
2001-09-25,1.76728795853055
2001-10-02,1.35870839164595
2001-10-09,1.08087937123326
2001-10-16,0.567868534383841
2001-10-23,-0.29536977752826
2001-10-30,0.415679479435056
2001-11-06,0.253911360081329
2001-11-13,-1.28409353162545
2001-11-20,-1.34730353686118
2001-11-27,-1.22037181136665
2001-12-04,0.124496555827891
2001-12-11,-0.024233365677752
2001-12-18,-0.046200401939708
2001-12-21,-0.070965073869692
2001-12-28,-0.063685841976545
2002-01-08,0.423548358094058
2002-01-15,0.167258264766833
2002-01-22,0.779772973986756
2002-01-29,-1.04959034779844
2002-02-05,-0.886367674768399
2002-02-12,-0.824371844193353
2002-02-19,-0.197635913022343
2002-02-26,-0.846723405356457
2002-03-05,-0.469627435000196
2002-03-12,0.536192519594174
2002-03-19,1.13034640376009
2002-03-26,1.30178219703912
2002-04-02,1.5660229753583
2002-04-09,0.806253947868329
2002-04-16,1.61244158398287
2002-04-23,1.75069141585066
2002-04-30,1.84645570082636
2002-05-07,2.01473905847256
2002-05-14,1.90512357295248
2002-05-21,1.35931736297026
2002-05-28,1.30206174675336
2002-06-04,1.10064891695597
2002-06-11,1.17143688179089
2002-06-18,1.25386879041321
2002-06-25,0.435814903093358
2002-07-02,0.447098602618416
2002-07-09,0.562947907732668
2002-07-16,0.810912202417884
2002-07-23,0.610351702076303
2002-07-30,0.560968839844333
2002-08-06,-0.094458963192122
2002-08-13,0.006790992203785
2002-08-20,-0.191062327390402
2002-08-27,0.253900897279462
2002-09-03,0.651484640739438
2002-09-10,0.150808626915072
2002-09-17,-0.664768880776328
2002-09-24,-0.475004079072405
2002-10-01,-0.261725594303666
2002-10-08,-0.670625739887651
2002-10-15,0.194700681002522
2002-10-22,-0.534772858724777
2002-10-29,-0.034559277873623
2002-11-05,1.11741487928328
2002-11-12,1.4773166555988
2002-11-19,1.05442874162364
2002-11-26,0.954768610420989
2002-12-03,0.256467786983146
2002-12-10,0.977610968095501
2002-12-17,1.16387792648121
2002-12-23,0.813437092231345
2002-12-31,0.921420808560435
2003-01-07,0.711574545991698
2003-01-14,0.746452508579648
2003-01-21,0.664986945966351
2003-01-28,0.403221224293512
2003-02-04,0.910170581686138
2003-02-11,-0.167366208664548
2003-02-18,0.20075556137925
2003-02-25,-0.695874221943134
2003-03-04,0.829466400650942
2003-03-11,0.955972876822703
2003-03-18,-1.51973376767199
2003-03-25,-2.36091578575817
2003-04-01,-1.86187394949005
2003-04-08,-1.54520247002609
2003-04-15,-1.42085526488529
2003-04-22,-0.000196041950129
2003-04-29,0.568706359423196
2003-05-06,0.83974799228251
2003-05-13,-0.082586225404516
2003-05-20,0.081722686123912
2003-05-27,-0.566820479953668
2003-06-03,0.522547880676919
2003-06-10,0.253121499072118
2003-06-17,0.530823551542534
2003-06-24,-0.249598271317837
2003-07-01,-0.324698980529288
2003-07-08,-0.699841466487516
2003-07-15,-1.14864778427883
2003-07-22,-1.64937169278819
2003-07-29,-1.73176077087111
2003-08-05,-1.24546770891462
2003-08-12,-1.19935447577603
2003-08-19,-1.75640924724663
2003-08-26,-2.38866472232679
2003-09-02,-2.19968743871847
2003-09-09,-2.17091756277532
2003-09-16,-1.82006748536308
2003-09-23,-1.26719280260078
2003-09-30,-0.799943585019472
2003-10-07,-0.067447754311448
2003-10-14,0.550879937727675
2003-10-21,0.382489857408928
2003-10-28,0.429555143753473
2003-11-04,-0.104008712993297
2003-11-11,-0.221537348767567
2003-11-18,1.71806763727736
2003-11-25,1.23848235023932
2003-12-02,1.19003216269583
2003-12-09,1.06702431535209
2003-12-16,1.88975396067907
2003-12-22,1.6663135218963
2003-12-30,1.54839172186048
2004-01-06,0.981834447234751
2004-01-13,0.586707880450211
2004-01-20,0.855751323178793
2004-01-27,1.31000763189378
2004-02-03,-0.009430563356455
2004-02-10,0.465605482442125
